Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.2993		0.2220		0.4897		0.6065		0.00052244
2		0.2231		0.2177		0.6007		0.6189		0.00050000
3		0.2009		0.2231		0.6168		0.6249		0.00047744
4		0.1982		0.2010		0.6226		0.6545		0.00045477
1		0.2988		0.2210		0.4773		0.5912		0.00052244
2		0.2234		0.2281		0.5963		0.6045		0.00050000
3		0.1991		0.2010		0.6209		0.6262		0.00047744
4		0.2051		0.2073		0.6201		0.6224		0.00045477
5		0.1841		0.2029		0.6367		0.6509		0.00043196
6		0.1880		0.1997		0.6328		0.6400		0.00040903
7		0.1795		0.2055		0.6422		0.6240		0.00038594
8		0.2010		0.2088		0.6270		0.6034		0.00036271
9		0.1846		0.1987		0.6355		0.6206		0.00033931
10		0.1792		0.1777		0.6458		0.6555		0.00031572
11		0.1728		0.1842		0.6507		0.6635		0.00029194
12		0.1613		0.1680		0.6586		0.6727		0.00026794
13		0.1592		0.1762		0.6664		0.6640		0.00024370
14		0.1661		0.1892		0.6560		0.6404		0.00021919
15		0.1568		0.1724		0.6641		0.6631		0.00019437
16		0.1483		0.1662		0.6729		0.6696		0.00016919
17		0.1471		0.1767		0.6769		0.6633		0.00014359
18		0.1450		0.1617		0.6790		0.6744		0.00011746
19		0.1401		0.1594		0.6852		0.6718		0.00009067
20		0.1357		0.1561		0.6898		0.6825		0.00006295
