Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.1654		0.1222		0.6187		0.7048		0.00052244
2		0.1211		0.1142		0.7177		0.7088		0.00050000
3		0.1163		0.1145		0.7232		0.7247		0.00047744
4		0.1158		0.1067		0.7296		0.7310		0.00045477
5		0.1111		0.0999		0.7356		0.7570		0.00043196
6		0.1112		0.1055		0.7366		0.7423		0.00040903
7		0.1099		0.1096		0.7374		0.7352		0.00038594
8		0.1071		0.1062		0.7447		0.7449		0.00036271
9		0.1057		0.1046		0.7485		0.7415		0.00033931
10		0.1026		0.0941		0.7546		0.7696		0.00031572
11		0.1033		0.0983		0.7550		0.7543		0.00029194
12		0.1004		0.0999		0.7594		0.7539		0.00026794
13		0.0994		0.0947		0.7619		0.7695		0.00024370
14		0.0972		0.0939		0.7686		0.7659		0.00021919
15		0.0958		0.0929		0.7689		0.7680		0.00019437
16		0.0948		0.0873		0.7745		0.7832		0.00016919
17		0.0930		0.0875		0.7778		0.7830		0.00014359
18		0.0898		0.0888		0.7841		0.7850		0.00011746
19		0.0884		0.0884		0.7860		0.7851		0.00009067
20		0.0867		0.0894		0.7910		0.7843		0.00006295
