Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.1785		0.1324		0.6856		0.7200		0.00052244
2		0.1323		0.1290		0.7359		0.7233		0.00050000
3		0.1273		0.1121		0.7425		0.7583		0.00047744
4		0.1227		0.1110		0.7482		0.7586		0.00045477
5		0.1235		0.1091		0.7469		0.7574		0.00043196
6		0.1157		0.1086		0.7592		0.7620		0.00040903
7		0.1181		0.1092		0.7555		0.7650		0.00038594
8		0.1143		0.1217		0.7594		0.7263		0.00036271
9		0.1131		0.1202		0.7606		0.7383		0.00033931
10		0.1121		0.1056		0.7650		0.7690		0.00031572
11		0.1055		0.1073		0.7723		0.7702		0.00029194
12		0.1082		0.1043		0.7712		0.7751		0.00026794
13		0.1054		0.1014		0.7738		0.7811		0.00024370
14		0.0999		0.1059		0.7820		0.7716		0.00021919
15		0.1013		0.0954		0.7805		0.7866		0.00019437
16		0.0966		0.0940		0.7867		0.7930		0.00016919
17		0.0927		0.0937		0.7932		0.7934		0.00014359
18		0.0931		0.0937		0.7924		0.7914		0.00011746
19		0.0898		0.0897		0.7968		0.7968		0.00009067
20		0.0867		0.0885		0.8031		0.7990		0.00006295
1		0.5062		0.3723		0.5855		0.6683		0.00052244
2		0.3901		0.3452		0.6932		0.7203		0.00050000
3		0.3647		0.3467		0.7275		0.7508		0.00047744
4		0.3471		0.3113		0.7461		0.7630		0.00045477
5		0.3384		0.3305		0.7536		0.7589		0.00043196
6		0.3298		0.3390		0.7595		0.7593		0.00040903
7		0.3301		0.3217		0.7572		0.7623		0.00038594
8		0.3221		0.3200		0.7646		0.7592		0.00036271
9		0.3182		0.2844		0.7669		0.7787		0.00033931
10		0.3159		0.3194		0.7691		0.7780		0.00031572
11		0.3116		0.3039		0.7728		0.7729		0.00029194
12		0.3076		0.3031		0.7762		0.7664		0.00026794
13		0.3050		0.3176		0.7787		0.7812		0.00024370
14		0.3003		0.3106		0.7834		0.7777		0.00021919
15		0.2984		0.3084		0.7852		0.7755		0.00019437
16		0.2949		0.3003		0.7874		0.7907		0.00016919
17		0.2904		0.3115		0.7936		0.7848		0.00014359
18		0.2871		0.2925		0.7973		0.7943		0.00011746
19		0.2832		0.2923		0.8012		0.7936		0.00009067
20		0.2765		0.2824		0.8068		0.7996		0.00006295
