Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.0370		0.0217		0.5748		0.6356		0.00052244
2		0.0203		0.0181		0.6816		0.6687		0.00050000
3		0.0196		0.0161		0.6816		0.6976		0.00047744
4		0.0197		0.0171		0.6806		0.7005		0.00045477
5		0.0181		0.0181		0.6933		0.6858		0.00043196
6		0.0175		0.0190		0.6970		0.6556		0.00040903
7		0.0169		0.0153		0.7029		0.6996		0.00038594
8		0.0163		0.0153		0.7061		0.7098		0.00036271
9		0.0159		0.0154		0.7103		0.7042		0.00033931
10		0.0155		0.0148		0.7152		0.7207		0.00031572
11		0.0150		0.0154		0.7201		0.7107		0.00029194
1		0.0359		0.0175		0.6013		0.6911		0.00052244
2		0.0198		0.0180		0.6865		0.6862		0.00050000
3		0.0187		0.0150		0.6845		0.7124		0.00047744
4		0.0196		0.0177		0.6818		0.6909		0.00045477
5		0.0188		0.0189		0.6893		0.6710		0.00043196
6		0.0172		0.0151		0.7000		0.7101		0.00040903
7		0.0172		0.0149		0.7009		0.7035		0.00038594
8		0.0170		0.0161		0.7003		0.7118		0.00036271
9		0.0156		0.0167		0.7141		0.7143		0.00033931
10		0.0151		0.0152		0.7179		0.7078		0.00031572
11		0.0148		0.0144		0.7216		0.7185		0.00029194
12		0.0149		0.0138		0.7201		0.7255		0.00026794
13		0.0150		0.0134		0.7188		0.7320		0.00024370
14		0.0144		0.0130		0.7251		0.7265		0.00021919
15		0.0138		0.0134		0.7308		0.7253		0.00019437
16		0.0134		0.0126		0.7361		0.7346		0.00016919
17		0.0129		0.0132		0.7401		0.7302		0.00014359
18		0.0130		0.0118		0.7388		0.7472		0.00011746
19		0.0126		0.0118		0.7431		0.7466		0.00009067
20		0.0118		0.0119		0.7525		0.7432		0.00006295
