Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.1656		0.1349		0.6195		0.6763		0.00052244
2		0.1241		0.1181		0.7139		0.6923		0.00050000
3		0.1183		0.1157		0.7241		0.7092		0.00047744
1		0.1574		0.1098		0.6457		0.7396		0.00052244
2		0.1196		0.1118		0.7232		0.7264		0.00050000
3		0.1138		0.1101		0.7321		0.7337		0.00047744
4		0.1132		0.1032		0.7336		0.7427		0.00045477
5		0.1125		0.1031		0.7334		0.7543		0.00043196
6		0.1073		0.1036		0.7439		0.7414		0.00040903
7		0.1108		0.1002		0.7374		0.7587		0.00038594
8		0.1055		0.1025		0.7465		0.7445		0.00036271
9		0.1046		0.1060		0.7528		0.7405		0.00033931
10		0.1054		0.1011		0.7493		0.7492		0.00031572
11		0.1012		0.0995		0.7595		0.7516		0.00029194
12		0.1022		0.0931		0.7576		0.7708		0.00026794
13		0.0977		0.0934		0.7642		0.7676		0.00024370
14		0.0979		0.0937		0.7673		0.7701		0.00021919
15		0.0958		0.0921		0.7729		0.7722		0.00019437
16		0.0934		0.0886		0.7758		0.7852		0.00016919
17		0.0911		0.0887		0.7802		0.7804		0.00014359
18		0.0902		0.0877		0.7829		0.7838		0.00011746
19		0.0884		0.0861		0.7867		0.7850		0.00009067
